"repeats"	"read_count"	"num_annotations"	"num_bases"	"perc_reads"	"RPM"	"ncountsRPM"
"317"	"RSP.het.seq317.count:1"	6.73	1	115	1e-05	0.06	0.06
"330"	"RSP.het.seq330.count:1"	6.76	1	115	1e-05	0.06	0.06
"352"	"RSP.het.seq352.count:1"	5.9	1	110	1e-05	0.06	0.06
"431"	"RSP.het.seq431.count:1"	5.89	1	103	1e-05	0.06	0.06
"440"	"RSP.het.seq440.count:1"	6.29	1	115	1e-05	0.06	0.06
"457"	"RSP.het.seq457.count:1"	6.63	1	109	1e-05	0.06	0.06
"516"	"RSP.het.seq516.count:1"	5.93	1	115	1e-05	0.06	0.06
"541"	"RSP.het.seq541.count:1"	6.16	1	113	1e-05	0.06	0.06
"70"	"RSP.het.seq70.count:3"	4.8	3	345	0	0.05	0.0166666666666667
"100"	"RSP.het.seq100.count:2"	5.05	2	166	0	0.05	0.025
"107"	"RSP.het.seq107.count:2"	4.82	2	232	0	0.05	0.025
"120"	"RSP.het.seq120.count:2"	4.95	2	232	0	0.05	0.025
"126"	"RSP.het.seq126.count:2"	4.93	2	228	0	0.05	0.025
"128"	"RSP.het.seq128.count:2"	4.7	2	230	0	0.05	0.025
"133"	"RSP.het.seq133.count:2"	5.22	2	230	1e-05	0.05	0.025
"143"	"RSP.het.seq143.count:2"	4.79	2	230	0	0.05	0.025
"211"	"RSP.het.seq211.count:1"	5.53	1	115	1e-05	0.05	0.05
"270"	"RSP.het.seq270.count:1"	5.24	1	103	1e-05	0.05	0.05
"296"	"RSP.het.seq296.count:1"	4.72	1	115	0	0.05	0.05
"318"	"RSP.het.seq318.count:1"	4.71	1	113	0	0.05	0.05
"344"	"RSP.het.seq344.count:1"	5.21	1	116	0	0.05	0.05
"351"	"RSP.het.seq351.count:1"	4.92	1	115	0	0.05	0.05
"362"	"RSP.het.seq362.count:1"	4.91	1	114	0	0.05	0.05
"365"	"RSP.het.seq365.count:1"	5.08	1	116	0	0.05	0.05
"373"	"RSP.het.seq373.count:1"	4.81	1	116	0	0.05	0.05
"394"	"RSP.het.seq394.count:1"	4.71	1	113	0	0.05	0.05
"430"	"RSP.het.seq430.count:1"	5.6	1	115	1e-05	0.05	0.05
"435"	"RSP.het.seq435.count:1"	4.97	1	114	0	0.05	0.05
"443"	"RSP.het.seq443.count:1"	5.11	1	115	0	0.05	0.05
"444"	"RSP.het.seq444.count:1"	5.01	1	113	0	0.05	0.05
"492"	"RSP.het.seq492.count:1"	4.7	1	115	0	0.05	0.05
"526"	"RSP.het.seq526.count:1"	5.22	1	116	1e-05	0.05	0.05
"559"	"RSP.het.seq559.count:1"	5.66	1	114	1e-05	0.05	0.05
"571"	"RSP.het.seq571.count:1"	5.02	1	84	0	0.05	0.05
"62"	"RSP.het.seq62.count:3"	4.03	3	348	0	0.04	0.0133333333333333
"69"	"RSP.het.seq69.count:3"	3.73	3	231	0	0.04	0.0133333333333333
"112"	"RSP.het.seq112.count:2"	3.65	2	230	0	0.04	0.02
"121"	"RSP.het.seq121.count:2"	3.73	2	230	0	0.04	0.02
"147"	"RSP.het.seq147.count:2"	4.51	2	224	0	0.04	0.02
"205"	"RSP.het.seq205.count:1"	4.05	1	54	0	0.04	0.04
"293"	"RSP.het.seq293.count:1"	4.33	1	116	0	0.04	0.04
"315"	"RSP.het.seq315.count:1"	4.46	1	115	0	0.04	0.04
"324"	"RSP.het.seq324.count:1"	3.72	1	115	0	0.04	0.04
"329"	"RSP.het.seq329.count:1"	4.61	1	115	0	0.04	0.04
"339"	"RSP.het.seq339.count:1"	4.37	1	81	0	0.04	0.04
"364"	"RSP.het.seq364.count:1"	4.6	1	116	0	0.04	0.04
"389"	"RSP.het.seq389.count:1"	3.69	1	110	0	0.04	0.04
"434"	"RSP.het.seq434.count:1"	4.49	1	115	0	0.04	0.04
"437"	"RSP.het.seq437.count:1"	4.46	1	116	0	0.04	0.04
"482"	"RSP.het.seq482.count:1"	3.92	1	116	0	0.04	0.04
"537"	"RSP.het.seq537.count:1"	4.6	1	116	0	0.04	0.04
"542"	"RSP.het.seq542.count:1"	4.3	1	115	0	0.04	0.04
"557"	"RSP.het.seq557.count:1"	4.49	1	115	0	0.04	0.04
"580"	"RSP.het.seq580.count:1"	3.94	1	115	0	0.04	0.04
"582"	"RSP.het.seq582.count:1"	4.29	1	116	0	0.04	0.04
"87"	"RSP-LIKE.3A.seq87.count:2"	3.54	2	304	0	0.03	0.015
"104"	"RSP.het.seq104.count:2"	3.07	2	206	0	0.03	0.015
"144"	"RSP.het.seq144.count:2"	2.62	2	230	0	0.03	0.015
"155"	"RSP.het.seq155.count:2"	3.33	2	120	0	0.03	0.015
"196"	"RSP.het.seq196.count:1"	2.93	1	116	0	0.03	0.03
"203"	"RSP-LIKE.4B.seq203.count:1"	2.89	1	161	0	0.03	0.03
"238"	"RSP.het.seq238.count:1"	2.79	1	48	0	0.03	0.03
"287"	"RSP.het.seq287.count:1"	2.69	1	108	0	0.03	0.03
"305"	"RSP.het.seq305.count:1"	3.06	1	113	0	0.03	0.03
"319"	"RSP.het.seq319.count:1"	2.87	1	115	0	0.03	0.03
"320"	"RSP.het.seq320.count:1"	3	1	85	0	0.03	0.03
"381"	"RSP.het.seq381.count:1"	3.46	1	113	0	0.03	0.03
"411"	"RSP.het.seq411.count:1"	3.14	1	116	0	0.03	0.03
"436"	"RSP.het.seq436.count:1"	3.26	1	117	0	0.03	0.03
"438"	"RSP-LIKE.6E.seq438.count:1"	2.96	1	153	0	0.03	0.03
"464"	"RSP.het.seq464.count:1"	3.1	1	115	0	0.03	0.03
"479"	"RSP.het.seq479.count:1"	3.64	1	115	0	0.03	0.03
"481"	"RSP-LIKE.4B.seq481.count:1"	2.92	1	164	0	0.03	0.03
"511"	"RSP.het.seq511.count:1"	3.18	1	116	0	0.03	0.03
"518"	"RSP.het.seq518.count:1"	2.97	1	99	0	0.03	0.03
"543"	"RSP.het.seq543.count:1"	3.19	1	115	0	0.03	0.03
"546"	"RSP.het.seq546.count:1"	3.04	1	116	0	0.03	0.03
"566"	"RSP.het.seq566.count:1"	2.99	1	115	0	0.03	0.03
"73"	"RSP.het.seq73.count:3"	2.09	3	231	0	0.02	0.00666666666666667
"135"	"RSP.het.seq135.count:2"	2.35	2	230	0	0.02	0.01
"295"	"RSP.het.seq295.count:1"	2.6	1	115	0	0.02	0.02
"298"	"RSP.het.seq298.count:1"	2.28	1	114	0	0.02	0.02
"301"	"RSP-LIKE.4B.seq301.count:1"	1.94	1	161	0	0.02	0.02
"335"	"RSP.het.seq335.count:1"	2.26	1	114	0	0.02	0.02
"345"	"RSP.het.seq345.count:1"	1.79	1	100	0	0.02	0.02
"350"	"RSP.het.seq350.count:1"	2.51	1	83	0	0.02	0.02
"353"	"RSP.het.seq353.count:1"	2.48	1	115	0	0.02	0.02
"395"	"RSP.het.seq395.count:1"	1.64	1	101	0	0.02	0.02
"402"	"RSP.het.seq402.count:1"	2.55	1	115	0	0.02	0.02
"416"	"RSP.het.seq416.count:1"	2	1	110	0	0.02	0.02
"422"	"RSP-LIKE.3A.seq422.count:1"	2.5	1	152	0	0.02	0.02
"445"	"RSP.het.seq445.count:1"	2.26	1	114	0	0.02	0.02
"452"	"RSP.het.seq452.count:1"	2.02	1	113	0	0.02	0.02
"458"	"RSP-LIKE.4C.seq458.count:1"	1.61	1	151	0	0.02	0.02
"475"	"RSP.het.seq475.count:1"	2.27	1	113	0	0.02	0.02
"483"	"RSP.het.seq483.count:1"	2.02	1	115	0	0.02	0.02
"484"	"RSP.het.seq484.count:1"	1.71	1	117	0	0.02	0.02
"498"	"RSP-LIKE.3A.seq498.count:1"	1.66	1	152	0	0.02	0.02
"502"	"RSP.het.seq502.count:1"	2.15	1	113	0	0.02	0.02
"506"	"RSP-LIKE.4C.seq506.count:1"	2.02	1	164	0	0.02	0.02
"507"	"RSP.het.seq507.count:1"	2.31	1	114	0	0.02	0.02
"527"	"RSP-LIKE.4C.seq527.count:1"	1.61	1	158	0	0.02	0.02
"567"	"RSP.het.seq567.count:1"	2.26	1	113	0	0.02	0.02
"578"	"RSP.het.seq578.count:1"	1.85	1	115	0	0.02	0.02
"97"	"RSP.het.seq97.count:2"	1.09	2	118	0	0.01	0.005
"99"	"RSP.het.seq99.count:2"	1.01	2	224	0	0.01	0.005
"139"	"RSP.het.seq139.count:2"	1.02	2	184	0	0.01	0.005
"142"	"RSP.het.seq142.count:2"	0.77	2	224	0	0.01	0.005
"161"	"RSP.het.seq161.count:2"	1.12	2	228	0	0.01	0.005
"183"	"RSP.het.seq183.count:2"	1.05	2	232	0	0.01	0.005
"207"	"RSP-LIKE.4C.seq207.count:1"	0.76	1	164	0	0.01	0.01
"304"	"RSP.het.seq304.count:1"	0.53	1	86	0	0.01	0.01
"325"	"RSP-LIKE.4B.seq325.count:1"	0.93	1	161	0	0.01	0.01
"327"	"RSP.het.seq327.count:1"	0.92	1	98	0	0.01	0.01
"342"	"RSP.het.seq342.count:1"	0.59	1	115	0	0.01	0.01
"360"	"RSP.het.seq360.count:1"	1.05	1	108	0	0.01	0.01
"367"	"RSP.het.seq367.count:1"	0.7	1	115	0	0.01	0.01
"386"	"RSP.het.seq386.count:1"	0.97	1	113	0	0.01	0.01
"468"	"RSP.het.seq468.count:1"	1.47	1	116	0	0.01	0.01
"473"	"RSP.het.seq473.count:1"	1.56	1	115	0	0.01	0.01
"480"	"RSP.het.seq480.count:1"	1.52	1	115	0	0.01	0.01
"493"	"RSP-LIKE.4C.seq493.count:1"	1.12	1	163	0	0.01	0.01
"517"	"RSP.het.seq517.count:1"	1.07	1	116	0	0.01	0.01
"579"	"RSP-LIKE.6E.seq579.count:1"	0.68	1	49	0	0.01	0.01
"98"	"RSP.het.seq98.count:2"	0.32	2	230	0	0	0
"111"	"RSP.het.seq111.count:2"	0	2	226	0	0	0
"136"	"RSP.het.seq136.count:2"	0	2	230	0	0	0
"138"	"RSP.het.seq138.count:2"	0	2	230	0	0	0
"162"	"RSP.het.seq162.count:2"	0	2	232	0	0	0
"164"	"RSP.het.seq164.count:2"	0	2	224	0	0	0
"166"	"RSP.het.seq166.count:2"	0	2	226	0	0	0
"176"	"RSP.het.seq176.count:2"	0	2	234	0	0	0
"178"	"RSP.het.seq178.count:2"	0	2	228	0	0	0
"182"	"RSP.het.seq182.count:2"	0	2	124	0	0	0
"192"	"RSP.het.seq192.count:1"	0	1	114	0	0	0
"194"	"RSP.het.seq194.count:1"	0	1	97	0	0	0
"195"	"RSP.het.seq195.count:1"	0	1	71	0	0	0
"198"	"RSP.het.seq198.count:1"	0	1	62	0	0	0
"199"	"RSP.het.seq199.count:1"	0	1	100	0	0	0
"208"	"RSP.het.seq208.count:1"	0	1	100	0	0	0
"209"	"RSP.het.seq209.count:1"	0	1	100	0	0	0
"217"	"RSP-LIKE.10D.seq217.count:1"	0.03	1	38	0	0	0
"219"	"RSP.het.seq219.count:1"	0	1	116	0	0	0
"220"	"RSP.het.seq220.count:1"	0	1	99	0	0	0
"223"	"RSP.het.seq223.count:1"	0.32	1	114	0	0	0
"225"	"RSP.het.seq225.count:1"	0	1	100	0	0	0
"228"	"RSP.het.seq228.count:1"	0	1	70	0	0	0
"229"	"RSP.het.seq229.count:1"	0	1	116	0	0	0
"230"	"RSP.het.seq230.count:1"	0	1	116	0	0	0
"231"	"RSP.het.seq231.count:1"	0	1	95	0	0	0
"233"	"RSP.het.seq233.count:1"	0	1	112	0	0	0
"236"	"RSP.het.seq236.count:1"	0	1	111	0	0	0
"240"	"RSP.het.seq240.count:1"	0	1	90	0	0	0
"242"	"RSP-LIKE.10D.seq242.count:1"	0	1	85	0	0	0
"246"	"RSP.het.seq246.count:1"	0	1	96	0	0	0
"249"	"RSP.het.seq249.count:1"	0	1	115	0	0	0
"256"	"RSP.het.seq256.count:1"	0	1	70	0	0	0
"257"	"RSP.het.seq257.count:1"	0	1	116	0	0	0
"260"	"RSP.het.seq260.count:1"	0	1	116	0	0	0
"262"	"RSP.het.seq262.count:1"	0	1	117	0	0	0
"266"	"RSP.het.seq266.count:1"	0	1	115	0	0	0
"267"	"RSP.het.seq267.count:1"	0	1	115	0	0	0
"268"	"RSP.het.seq268.count:1"	0	1	116	0	0	0
"269"	"RSP.het.seq269.count:1"	0	1	97	0	0	0
"275"	"RSP.het.seq275.count:1"	0	1	111	0	0	0
"278"	"RSP.het.seq278.count:1"	0	1	115	0	0	0
"282"	"RSP.het.seq282.count:1"	0	1	115	0	0	0
"300"	"RSP.het.seq300.count:1"	0	1	115	0	0	0
"302"	"RSP.het.seq302.count:1"	0	1	106	0	0	0
"306"	"RSP-LIKE.4C.seq306.count:1"	0	1	164	0	0	0
"322"	"RSP.het.seq322.count:1"	0	1	117	0	0	0
"323"	"RSP.het.seq323.count:1"	0	1	108	0	0	0
"331"	"RSP.het.seq331.count:1"	0	1	109	0	0	0
"332"	"RSP.het.seq332.count:1"	0	1	114	0	0	0
"333"	"RSP.het.seq333.count:1"	0	1	115	0	0	0
"338"	"RSP.het.seq338.count:1"	0	1	116	0	0	0
"340"	"RSP.het.seq340.count:1"	0	1	115	0	0	0
"343"	"RSP.het.seq343.count:1"	0	1	117	0	0	0
"349"	"RSP.het.seq349.count:1"	0	1	115	0	0	0
"355"	"RSP.het.seq355.count:1"	0	1	113	0	0	0
"357"	"RSP-LIKE.4C.seq357.count:1"	0	1	164	0	0	0
"358"	"RSP.het.seq358.count:1"	0	1	114	0	0	0
"359"	"RSP.het.seq359.count:1"	0	1	109	0	0	0
"361"	"RSP.het.seq361.count:1"	0	1	116	0	0	0
"369"	"RSP.het.seq369.count:1"	0	1	116	0	0	0
"371"	"RSP.het.seq371.count:1"	0	1	116	0	0	0
"374"	"RSP.het.seq374.count:1"	0.4	1	116	0	0	0
"378"	"RSP.het.seq378.count:1"	0	1	116	0	0	0
"385"	"RSP.het.seq385.count:1"	0	1	116	0	0	0
"398"	"RSP.het.seq398.count:1"	0	1	68	0	0	0
"400"	"RSP.het.seq400.count:1"	0	1	112	0	0	0
"407"	"RSP.het.seq407.count:1"	0	1	116	0	0	0
"408"	"RSP.het.seq408.count:1"	0	1	103	0	0	0
"409"	"RSP.het.seq409.count:1"	0	1	116	0	0	0
"414"	"RSP.het.seq414.count:1"	0	1	63	0	0	0
"418"	"RSP.het.seq418.count:1"	0	1	115	0	0	0
"420"	"RSP.het.seq420.count:1"	0	1	100	0	0	0
"423"	"RSP.het.seq423.count:1"	0	1	109	0	0	0
"424"	"RSP.het.seq424.count:1"	0	1	113	0	0	0
"425"	"RSP.het.seq425.count:1"	0	1	115	0	0	0
"446"	"RSP.het.seq446.count:1"	0	1	109	0	0	0
"447"	"RSP.het.seq447.count:1"	0.21	1	115	0	0	0
"448"	"RSP-LIKE.6E.seq448.count:1"	0	1	152	0	0	0
"449"	"RSP.het.seq449.count:1"	0	1	83	0	0	0
"450"	"RSP.het.seq450.count:1"	0.35	1	114	0	0	0
"451"	"RSP.het.seq451.count:1"	0	1	88	0	0	0
"453"	"RSP.het.seq453.count:1"	0	1	83	0	0	0
"454"	"RSP.het.seq454.count:1"	0	1	114	0	0	0
"455"	"RSP.het.seq455.count:1"	0	1	115	0	0	0
"456"	"RSP.het.seq456.count:1"	0	1	116	0	0	0
"460"	"RSP.het.seq460.count:1"	0	1	112	0	0	0
"461"	"RSP.het.seq461.count:1"	0	1	116	0	0	0
"463"	"RSP-LIKE.4C.seq463.count:1"	0	1	164	0	0	0
"465"	"RSP.het.seq465.count:1"	0	1	116	0	0	0
"470"	"RSP-LIKE.4C.seq470.count:1"	0.46	1	163	0	0	0
"478"	"RSP.het.seq478.count:1"	0	1	117	0	0	0
"485"	"RSP.het.seq485.count:1"	0	1	116	0	0	0
"486"	"RSP.het.seq486.count:1"	0	1	116	0	0	0
"489"	"RSP.het.seq489.count:1"	0	1	114	0	0	0
"490"	"RSP.het.seq490.count:1"	0	1	112	0	0	0
"494"	"RSP.het.seq494.count:1"	0	1	101	0	0	0
"497"	"RSP.het.seq497.count:1"	0	1	113	0	0	0
"499"	"RSP.het.seq499.count:1"	0	1	89	0	0	0
"500"	"RSP.het.seq500.count:1"	0	1	114	0	0	0
"501"	"RSP.het.seq501.count:1"	0	1	100	0	0	0
"503"	"RSP.het.seq503.count:1"	0	1	116	0	0	0
"504"	"RSP.het.seq504.count:1"	0	1	116	0	0	0
"505"	"RSP.het.seq505.count:1"	0	1	113	0	0	0
"512"	"RSP.het.seq512.count:1"	0.43	1	116	0	0	0
"519"	"RSP-LIKE.4B.seq519.count:1"	0	1	157	0	0	0
"520"	"RSP.het.seq520.count:1"	0	1	116	0	0	0
"524"	"RSP.het.seq524.count:1"	0	1	72	0	0	0
"528"	"RSP.het.seq528.count:1"	0	1	116	0	0	0
"530"	"RSP.het.seq530.count:1"	0.27	1	49	0	0	0
"532"	"RSP-LIKE.10D.seq532.count:1"	0	1	87	0	0	0
"534"	"RSP.het.seq534.count:1"	0	1	115	0	0	0
"539"	"RSP.het.seq539.count:1"	0	1	43	0	0	0
"544"	"RSP.het.seq544.count:1"	0	1	114	0	0	0
"545"	"RSP.het.seq545.count:1"	0	1	114	0	0	0
"552"	"RSP.het.seq552.count:1"	0	1	116	0	0	0
"553"	"RSP.het.seq553.count:1"	0	1	44	0	0	0
"554"	"RSP.het.seq554.count:1"	0	1	115	0	0	0
"563"	"RSP.het.seq563.count:1"	0	1	112	0	0	0
"565"	"RSP.het.seq565.count:1"	0	1	47	0	0	0
"568"	"RSP.het.seq568.count:1"	0	1	116	0	0	0
"572"	"RSP.het.seq572.count:1"	0	1	115	0	0	0
"573"	"RSP.het.seq573.count:1"	0	1	113	0	0	0
"575"	"RSP.het.seq575.count:1"	0	1	115	0	0	0
