Cluster,Repeats,Closest.upstream,Dist.upstream,Closest.downstream,Dist.downstream,Coords,First_start,First_end,Last_start,Last_end,Cyto_band,Cyto_start,species,flanking,age,
1.688,2,HeT-A3,7265,GENE,1689,X:10456026-10456776,10456026,10456380,10456425,10456776,9C,10401342,D. mau,no,NA,
1.688,2,BARI1 38 88,3888,GENE,2967,X:10567681-10568056,10567681,10567816,10567821,10568056,9D,10466209,D. mau,no,NA,
1.688,4,Homo6 751 805,7354,GENE,1536,X:10611251-10612682,10611251,10611601,10612336,10612682,9D,10466209,D. mau,no,old,
1.688,1,GENE,1,GENE,8322,X:10642342-10642478,10642342,10642478,10642342,10642478,9D,10466209,D. mau,no,NA,
1.688,3,Gypsy8-I,2526,GENE,4404,X:10699361-10700350,10699361,10699633,10699995,10700350,9E,10645359,D. mau,no,NA,
1.688,6,GENE,395,GENE,368,X:10710708-10713125,10710708,10711063,10712775,10713125,9E,10645359,D. mau,no,new,
1.688,5,Hoyak2 1 42,9495,1.688,1186,X:10732316-10734338,10732316,10732501,10733961,10734338,9E,10645359,D. mau,no,old,
1.688,1,1.688,1186,Jockey-3,7541,X:10735524-10735797,10735524,10735797,10735524,10735797,9E,10645359,D. mau,no,NA,
1.688,17,GENE,1,Homo6 783 855,8450,X:10753692-10760418,10753692,10753764,10760233,10760418,9E,10645359,D. mau,no,new,
1.688,6,Gypsy8-I,3178,1.688,7023,X:10777942-10779374,10777942,10778255,10779312,10779374,9E,10645359,D. mau,no,old,
1.688,1,1.688,7023,MINIME,21819,X:10786397-10786480,10786397,10786480,10786397,10786480,9F,10781791,D. mau,no,NA,
1.688,7,MINIME,2395,HOBO 1 80,1895,X:10810795-10813175,10810795,10811128,10813006,10813175,9F,10781791,D. mau,no,old,
1.688,3,HOBO 195 253,15240,GENE,3453,X:10830468-10831179,10830468,10830604,10830976,10831179,9F,10781791,D. mau,no,NA,
1.688,4,GENE,2021,GENE,635,X:10854964-10856157,10854964,10855308,10856045,10856157,9F,10781791,D. mau,no,old,
1.688,3,GENE,1,GENE,1961,X:10887901-10888697,10887901,10888137,10888482,10888697,9F,10781791,D. mau,no,NA,
1.688,4,GENE,6907,GENE,4418,X:10959636-10960741,10959636,10959870,10960621,10960741,9F,10781791,D. mau,no,old,
1.688,4,GENE,5575,Gypsy-22,1831,X:10978077-10978959,10978077,10978143,10978886,10978959,10A,10976636,D. mau,no,old,
1.688,4,DMCR1A 3954 4462,3288,GENE,16384,X:11000679-11001797,11000679,11000824,11001550,11001797,10A,10976636,D. mau,no,old,
1.688,5,GENE,19,1.688,19196,X:11018820-11020171,11018820,11018926,11020002,11020171,10A,10976636,D. mau,no,old,
1.688,4,1.688,19196,Jockey-3,24018,X:11039367-11040400,11039367,11039536,11040272,11040400,10A,10976636,D. mau,no,old,
1.688,6,GENE,1,GENE,6334,X:11075830-11078066,11075830,11075972,11077854,11078066,10A,10976636,D. mau,no,old,
1.688,1,GENE,1,GENE,5615,X:11133043-11133247,11133043,11133247,11133043,11133247,10A,10976636,D. mau,no,NA,
1.688,2,GENE,1,DMLTR5 1 266,4230,X:11183837-11184547,11183837,11184185,11184188,11184547,10A,10976636,D. mau,no,NA,
1.688,5,GENE,1,GENE,2339,X:11250805-11252464,11250805,11251010,11252110,11252464,10B,11198804,D. mau,no,new,
1.688,3,Gypsy-3,21309,GENE,16316,X:11311727-11312749,11311727,11311863,11312567,11312749,10B,11198804,D. mau,no,NA,
1.688,1,GENE,2902,GENE,1847,X:11332649-11333008,11332649,11333008,11332649,11333008,10B,11198804,D. mau,no,NA,
1.688,17,GENE,1810,GENE,172,X:11353538-11359423,11353538,11353650,11359063,11359423,10B,11198804,D. mau,no,new,
1.688,1,HeT-A3,3109,Gypsy8-I,17911,X:11409968-11410316,11409968,11410316,11409968,11410316,10B,11198804,D. mau,no,NA,
1.688,1,GENE,1155,GENE,540,X:11460459-11460809,11460459,11460809,11460459,11460809,10B,11198804,D. mau,no,NA,
1.688,2,GENE,1,TART,4065,X:11499118-11499925,11499118,11499475,11499803,11499925,10C,11489174,D. mau,no,NA,
1.688,2,Jockey-3,755,Jockey-3,1391,X:11521582-11522344,11521582,11521674,11521989,11522344,10C,11489174,D. mau,no,NA,
1.688,3,Uhu,1973,Helitron-N1,5623,X:11561812-11562387,11561812,11561920,11562267,11562387,10C,11489174,D. mau,no,NA,
1.688,43,GENE,374,GENE,547,X:11628963-11644191,11628963,11629142,11643884,11644191,10D,11607196,D. mau,no,old,
1.688,1,GENE,175,1.688,2407,X:11670189-11670287,11670189,11670287,11670189,11670287,10D,11607196,D. mau,no,NA,
1.688,2,1.688,2407,GENE,738,X:11672694-11672839,11672694,11672763,11672783,11672839,10D,11607196,D. mau,no,NA,
1.688,3,GENE,415,GENE,215,X:11740559-11741201,11740559,11740757,11741089,11741201,10E,11728874,D. mau,no,NA,
1.688,2,Gypsy-50,3632,HeT-A3,5,X:11797422-11798028,11797422,11797763,11797764,11798028,10E,11728874,D. mau,no,NA,
1.688,1,HeT-A3,3982,GENE,7470,X:11802065-11802423,11802065,11802423,11802065,11802423,10E,11728874,D. mau,no,NA,
1.688,5,GENE,5475,G5A,1715,X:11846444-11848062,11846444,11846482,11847892,11848062,10F,11829939,D. mau,no,,
1.688,6,GENE,650,Helitron-N2,4266,X:11880577-11882272,11880577,11880719,11882155,11882272,10F,11829939,D. mau,no,old,
1.688,4,GENE,9186,GENE,650,X:11938305-11939329,11938305,11938480,11939189,11939329,10F,11829939,D. mau,no,old,
1.688,2,Helitron-N1,1468,Jockey-3,6466,X:11943274-11943902,11943274,11943550,11943551,11943902,10F,11829939,D. mau,no,NA,
1.688,4,ROO,9231,1.688,33012,X:12041059-12042282,12041059,12041185,12041922,12042282,11A,11982050,D. mau,no,old,
1.688,1,1.688,33012,1.688,11595,X:12075294-12075397,12075294,12075397,12075294,12075397,11A,11982050,D. mau,no,NA,
1.688,65,1.688,11595,Gypsy8-I,13306,X:12086992-12110294,12086992,12087087,12109966,12110294,11A,11982050,D. mau,no,old,
1.688,6,Gypsy8-I,18433,GENE,864,X:12142119-12143564,12142119,12142458,12143485,12143564,11A,11982050,D. mau,no,,
1.688,2,GENE,793,DNAREP1,13986,X:12185756-12186072,12185756,12185949,12185956,12186072,11A,11982050,D. mau,no,NA,
1.688,2,BARI1 38 88,2736,GENE,16335,X:12213162-12213860,12213162,12213518,12213519,12213860,11A,11982050,D. mau,no,NA,
1.688,2,GENE,636,GENE,80,X:12268654-12269226,12268654,12269008,12269049,12269226,11A,11982050,D. mau,no,NA,
1.688,3,Jockey-3,379,HeT-A3,11207,X:12298804-12299702,12298804,12299061,12299421,12299702,11A,11982050,D. mau,no,NA,
1.688,3,HeT-A3,8311,Gypsy12,4289,X:12319286-12320047,12319286,12319538,12319902,12320047,11A,11982050,D. mau,no,NA,
1.688,5,Jockey-3,4989,1.688,1073,X:12466622-12468806,12466622,12466979,12468449,12468806,11A,11982050,D. mau,no,new,
1.688,8,1.688,1073,1.688,4296,X:12469879-12474880,12469879,12470236,12474523,12474880,11A,11982050,D. mau,no,new,
1.688,1,1.688,4296,RSP-LIKE,210,X:12479176-12479533,12479176,12479533,12479176,12479533,11A,11982050,D. mau,no,NA,
1.688,2,Jockey-3,11350,Jockey-3,8718,X:12497518-12497829,12497518,12497637,12497639,12497829,11A,11982050,D. mau,no,NA,
1.688,2,Gypsy-12,840,GENE,194,X:12554900-12555616,12554900,12555258,12555259,12555616,11B,12525917,D. mau,no,NA,
1.688,2,GENE,1,GENE,3679,X:12593622-12594336,12593622,12593979,12593980,12594336,11B,12525917,D. mau,no,NA,
1.688,2,Jockey-3,1001,Galileo,19723,X:12628655-12629176,12628655,12629007,12629008,12629176,11B,12525917,D. mau,no,NA,
1.688,2,GENE,1,GENE,14132,X:12724952-12726084,12724952,12725309,12725729,12726084,11B,12525917,D. mau,no,NA,
1.688,5,TART,5332,GENE,2069,X:12755515-12756957,12755515,12755724,12756814,12756957,11B,12525917,D. mau,no,new,
1.688,2,RSP-LIKE,1,GENE,2683,X:12780188-12780620,12780188,12780452,12780459,12780620,11C,12772076,D. mau,no,NA,
1.688,5,GENE,1,GENE,4978,X:12796877-12798439,12796877,12797030,12798107,12798439,11C,12772076,D. mau,no,old,
1.688,4,GENE,14141,MINIME,6237,X:12818463-12819737,12818463,12818798,12819514,12819737,11C,12772076,D. mau,no,new,
1.688,3,Helitron-2,509,Gypsy-3,4418,X:12855030-12856035,12855030,12855385,12855770,12856035,11D,12836467,D. mau,no,NA,
1.688,2,DOC2,9426,RSP-LIKE,9,X:12914178-12914391,12914178,12914332,12914333,12914391,11D,12836467,D. mau,no,NA,
1.688,2,RSP-LIKE,1,Gypsy8-I,324,X:12918001-12918537,12918001,12918265,12918272,12918537,11D,12836467,D. mau,no,NA,
1.688,3,GENE,1,GENE,1436,X:12930836-12931432,12930836,12931194,12931335,12931432,11D,12836467,D. mau,no,NA,
1.688,2,GENE,1,RSP-LIKE,9,X:12993543-12993940,12993543,12993881,12993888,12993940,11D,12836467,D. mau,no,NA,
1.688,3,RSP-LIKE,1,GENE,111,X:12995738-12996725,12995738,12996002,12996370,12996725,11D,12836467,D. mau,no,NA,
1.688,2,TART,15045,RSP-LIKE,9,X:13042258-13042454,13042258,13042395,13042396,13042454,11D,12836467,D. mau,no,NA,
1.688,2,RSP-LIKE,1,GENE,16655,X:13043098-13043601,13043098,13043362,13043363,13043601,11D,12836467,D. mau,no,NA,
1.688,3,GENE,1807,GENE,1568,X:13135244-13136442,13135244,13135388,13136108,13136442,11E,13113650,D. mau,no,NA,
1.688,5,GENE,1,GENE,5676,X:13164137-13165262,13164137,13164192,13165182,13165262,11E,13113650,D. mau,no,old,
1.688,2,Gypsy-23,9310,TART,16049,X:13225008-13225496,13225008,13225133,13225149,13225496,11E,13113650,D. mau,no,NA,
1.688,12,Jockey-3,17478,Polinton-1,8671,X:13269272-13272852,13269272,13269498,13272771,13272852,11E,13113650,D. mau,no,,
1.688,2,GENE,167,GENE,3653,X:13328024-13328477,13328024,13328117,13328120,13328477,11E,13113650,D. mau,no,NA,
1.688,2,GENE,1,Gypsy8-I,4022,X:13382679-13383001,13382679,13382811,13382824,13383001,11F,13346260,D. mau,no,NA,
1.688,6,GENE,165,GENE,1142,X:13477915-13479748,13477915,13478084,13479535,13479748,12A,13461046,D. mau,no,old,
1.688,7,GENE,1,VEGE,1455,X:13490722-13493081,13490722,13491025,13492807,13493081,12A,13461046,D. mau,no,new,
1.688,2,VEGE,7632,R2B,15065,X:13502231-13502395,13502231,13502332,13502358,13502395,12A,13461046,D. mau,no,NA,
1.688,19,BARI1 41 88,554,1.688,1072,X:13646370-13655717,13646370,13646726,13655361,13655717,12A,13461046,D. mau,no,new,
1.688,16,1.688,1072,ROOA,16645,X:13656789-13664684,13656789,13657145,13664330,13664684,12B,13646538,D. mau,no,new,
1.688,4,Gypsy-29,403,TART,2327,X:13725452-13727280,13725452,13725628,13727035,13727280,12B,13646538,D. mau,no,old,
1.688,3,Gypsy-22,20829,1.688,7103,X:13847052-13847930,13847052,13847387,13847734,13847930,12C,13757666,D. mau,no,NA,
1.688,1,1.688,7103,GENE,424,X:13855033-13855280,13855033,13855280,13855033,13855280,12C,13757666,D. mau,no,NA,
1.688,4,REP-2,8155,TART,10909,X:13911139-13912634,13911139,13911194,13912288,13912634,12D,13903439,D. mau,no,old,
1.688,5,Helitron-N1,5316,INV2j,21622,X:14146524-14148330,14146524,14146639,14148117,14148330,12E,14080988,D. mau,no,old,
1.688,2,GENE,6103,BEL-21,3143,X:14183477-14184160,14183477,14183831,14183836,14184160,12E,14080988,D. mau,no,NA,
1.688,5,GENE,1,Galileo,19323,X:14217131-14218201,14217131,14217489,14218035,14218201,12E,14080988,D. mau,no,,
1.688,73,Galileo,22735,HelitronN-1,460,X:14260288-14288318,14260288,14260642,14288136,14288318,12E,14080988,D. mau,no,old,
1.688,13,GENE,14989,1.688,44646,X:14329083-14333422,14329083,14329378,14333198,14333422,12E,14080988,D. mau,no,new,
1.688,5,1.688,44646,Homo6 803 871,741,X:14378068-14379617,14378068,14378181,14379264,14379617,12E,14080988,D. mau,no,old,
1.688,7,GENE,1,RSP-LIKE,5217,X:14418517-14420652,14418517,14418737,14420549,14420652,12E,14080988,D. mau,no,old,
1.688,9,HOBO 2897 3015,4794,Mariner-1,15005,X:14470359-14473453,14470359,14470610,14473144,14473453,12E,14080988,D. mau,no,new,
1.688,3,GENE,1,DNA3-1,4447,X:14510974-14511896,14510974,14511323,14511691,14511896,12F,14510751,D. mau,no,NA,
1.688,1,TART,19379,GENE,17390,X:14687554-14687748,14687554,14687748,14687554,14687748,12F,14510751,D. mau,no,NA,
1.688,4,GENE,660,GENE,2719,X:14717981-14719072,14717981,14718141,14718871,14719072,12F,14510751,D. mau,no,old,
1.688,1,Jockey-6,3307,Helitron-1,5591,X:14929466-14929575,14929466,14929575,14929466,14929575,13A,14873202,D. mau,no,NA,
1.688,1,Gypsy-2,15724,GENE,304,X:14985289-14985632,14985289,14985632,14985289,14985632,13A,14873202,D. mau,no,NA,
1.688,28,GENE,416,GENE,7456,X:14986989-14996975,14986989,14987233,14996607,14996975,13A,14873202,D. mau,no,old,
1.688,1,GENE,8453,1.688,1270,X:15013962-15014052,15013962,15014052,15013962,15014052,13A,14873202,D. mau,no,NA,
1.688,6,1.688,1270,GENE,630,X:15015322-15017078,15015322,15015566,15016979,15017078,13A,14873202,D. mau,no,new,
1.688,12,Transib-N1,93,Jockey-3,1970,X:15202440-15206338,15202440,15202487,15206102,15206338,13B,15131122,D. mau,no,old,
1.688,7,Homo6 832 932,8786,Jockey-3,8721,X:15325055-15327208,15325055,15325326,15327132,15327208,13B,15131122,D. mau,no,old,
1.688,28,Helitron-1,152,GENE,4848,X:15389770-15399640,15389770,15389944,15399575,15399640,13C,15372315,D. mau,no,old,
1.688,1,GENE,1,GENE,83,X:15559566-15559881,15559566,15559881,15559566,15559881,13D,15522835,D. mau,no,NA,
1.688,23,GENE,1407,DMRT1C 1 2633,7,X:15786852-15794501,15786852,15787054,15794163,15794501,13E,15592099,D. mau,no,,
1.688,3,R1-1,8944,DIVER2,1,X:15811189-15811782,15811189,15811392,15811750,15811782,13F,15795007,D. mau,no,NA,
1.688,56,DIVER2,13,GENE,216,X:15831581-15850726,15831581,15831900,15850448,15850726,13F,15795007,D. mau,no,,
1.688,4,DNAREP1,1332,DNAREP1,5975,X:16098121-16099341,16098121,16098467,16099191,16099341,14A,15907609,D. mau,no,old,
1.688,38,GENE,1,Jockey-2,10,X:16120619-16133647,16120619,16120920,16133647,16133647,14B,16113517,D. mau,no,,
1.688,1,Jockey-2,86,GENE,975,X:16133794-16133839,16133794,16133839,16133794,16133839,14B,16113517,D. mau,no,NA,
1.688,2,GENE,136,GENE,143,X:16299831-16300055,16299831,16299941,16299993,16300055,14B,16113517,D. mau,no,NA,
1.688,1,Homo6 791 866,1195,GENE,3643,X:16381729-16381841,16381729,16381841,16381729,16381841,14C,16363597,D. mau,no,NA,
1.688,6,GENE,6768,GENE,26977,X:16744178-16745875,16744178,16744370,16745800,16745875,15A,16667592,D. mau,no,new,
1.688,2,HeT-A3,14876,GENE,49429,X:17190439-17191251,17190439,17190590,17190898,17191251,15F,17157125,D. mau,no,NA,
1.688,2,Jockey-6,2391,Gypsy8-I,20432,X:17807444-17807891,17807444,17807600,17807600,17807891,16D,17776522,D. mau,no,NA,
1.688,147,DNAREP1,3305,DNAREP1,9,X:171430-227276,171430,171634,227016,227276,1A,103614,D. sech,no,,
1.688,1,DNAREP1,11,GENE,186,X:227403-227495,227403,227495,227403,227495,1A,103614,D. sech,no,NA,
1.688,1,Helitron-2N,3037,GENE,304,X:249349-249511,249349,249511,249349,249511,1A,103614,D. sech,no,NA,
1.688,1,GENE,12148,Jockey-3,4143,X:845120-845467,845120,845467,845120,845467,1D,831097,D. sech,no,NA,
1.688,1,BEL-15,737,GENE,19893,X:931142-931424,931142,931424,931142,931424,1D,831097,D. sech,no,NA,
1.688,1,GENE,410,GENE,363,X:1410857-1411184,1410857,1411184,1410857,1411184,2A,1368553,D. sech,no,NA,
1.688,3,RSP-LIKE,15982,Jockey-3,2719,X:1478682-1479336,1478682,1478857,1479207,1479336,2B,1475669,D. sech,no,NA,
1.688,2,GENE,7439,GENE,4162,X:1632068-1632586,1632068,1632233,1632246,1632586,2B,1475669,D. sech,no,NA,
1.688,3,R1,6585,DNAREP1,5862,X:1729986-1730632,1729986,1730181,1730532,1730632,2B,1475669,D. sech,no,NA,
1.688,2,Jockey-3,11711,Galileo,150,X:1779602-1780074,1779602,1779949,1779952,1780074,2B,1475669,D. sech,no,NA,
1.688,1,GENE,1,GENE,2563,X:1843950-1844086,1843950,1844086,1843950,1844086,2B,1475669,D. sech,no,NA,
1.688,1,GENE,1,GENE,57,X:2095308-2095517,2095308,2095517,2095308,2095517,2D,2083109,D. sech,no,NA,
1.688,1,GENE,8997,RSP-LIKE,47,X:2308822-2308977,2308822,2308977,2308822,2308977,2F,2223442,D. sech,no,NA,
1.688,1,RSP-LIKE,205,GENE,103,X:2559901-2560096,2559901,2560096,2559901,2560096,3A,2328358,D. sech,no,NA,
1.688,2,Gypsy7-I,566,GENE,12815,X:2650903-2651371,2650903,2651181,2651190,2651371,3A,2328358,D. sech,no,NA,
1.688,2,GENE,6697,TART,11395,X:2698288-2698798,2698288,2698455,2698458,2698798,3B,2666235,D. sech,no,NA,
1.688,1,GENE,3483,GENE,3986,X:2752082-2752154,2752082,2752154,2752082,2752154,3B,2666235,D. sech,no,NA,
1.688,3,GENE,11644,GENE,12963,X:2768224-2768867,2768224,2768339,2768717,2768867,3B,2666235,D. sech,no,NA,
1.688,1,Galileo,13637,Gypsy-22,29425,X:2946487-2946600,2946487,2946600,2946487,2946600,3C,2804156,D. sech,no,NA,
1.688,2,GENE,2533,GENE,31327,X:3075317-3075752,3075317,3075532,3075531,3075752,3C,2804156,D. sech,no,NA,
1.688,17,Jockey-2,1645,BS2 4652 4721,468,X:3635568-3642236,3635568,3635775,3641877,3642236,3E,3614213,D. sech,no,old,
1.688,1,GENE,2747,GENE,1226,X:3655220-3655317,3655220,3655317,3655220,3655317,3E,3614213,D. sech,no,NA,
1.688,2,Galileo,45030,GENE,4546,X:3848910-3849265,3848910,3849120,3849128,3849265,3F,3765078,D. sech,no,NA,
1.688,2,GENE,253,GENE,1129,X:3879747-3879950,3879747,3879798,3879818,3879950,3F,3765078,D. sech,no,NA,
1.688,1,BEL-18,4391,GENE,34649,X:3946688-3946955,3946688,3946955,3946688,3946955,3F,3765078,D. sech,no,NA,
1.688,2,GENE,7668,GENE,10049,X:3999204-3999667,3999204,3999377,3999407,3999667,4A,3955447,D. sech,no,NA,
1.688,2,GENE,1,MuDR-1,12710,X:4098067-4098428,4098067,4098138,4098129,4098428,4A,3955447,D. sech,no,NA,
1.688,2,hAT-2,40,RSP-LIKE,297,X:4154306-4154776,4154306,4154531,4154581,4154776,4B,4115669,D. sech,no,NA,
1.688,2,Jockey-3,9541,P-1,8085,X:4256035-4256517,4256035,4256177,4256225,4256517,4B,4115669,D. sech,no,NA,
1.688,1,GENE,13731,Homo6 728 885,4026,X:4352905-4352992,4352905,4352992,4352905,4352992,4C,4333244,D. sech,no,NA,
1.688,3,GENE,1,GENE,3508,X:4428728-4429327,4428728,4428868,4429250,4429327,4C,4333244,D. sech,no,NA,
1.688,3,GENE,1,Helitron-2,549,X:4478487-4479134,4478487,4478630,4478995,4479134,4C,4333244,D. sech,no,NA,
1.688,2,Gypsy8-I,6731,GENE,2927,X:4522894-4523289,4522894,4522957,4523239,4523289,4C,4333244,D. sech,no,NA,
1.688,3,MINOS 11 108,18716,GENE,1310,X:4584488-4585281,4584488,4584660,4585034,4585281,4C,4333244,D. sech,no,NA,
1.688,3,HelitronN-1,34958,GENE,3556,X:4623400-4624098,4623400,4623501,4623924,4624098,4C,4333244,D. sech,no,NA,
1.688,2,GENE,3212,Gypsy-23,6684,X:4728030-4728494,4728030,4728139,4728176,4728494,4C,4333244,D. sech,no,NA,
1.688,2,TRANSIB1 1 45,8548,1.688,15484,X:4763615-4764059,4763615,4763865,4763979,4764059,4D,4749024,D. sech,no,NA,
1.688,2,1.688,15484,GENE,22824,X:4779543-4779834,4779543,4779672,4779691,4779834,4D,4749024,D. sech,no,NA,
1.688,2,GENE,6089,HOBO 2654 3016,5568,X:4886140-4886593,4886140,4886229,4886515,4886593,4D,4749024,D. sech,no,NA,
1.688,2,DNAREP2,1718,Gypsy-22,174,X:5009672-5010041,5009672,5009953,5009967,5010041,4E,4964040,D. sech,no,NA,
1.688,2,GENE,10020,GENE,4136,X:5188212-5188610,5188212,5188414,5188488,5188610,4F,5107107,D. sech,no,NA,
1.688,2,GENE,1,1.688,24437,X:5205582-5206302,5205582,5205935,5205974,5206302,4F,5107107,D. sech,no,NA,
1.688,3,1.688,24437,GENE,1488,X:5230739-5231481,5230739,5230909,5231279,5231481,4F,5107107,D. sech,no,NA,
1.688,3,GENE,216,Gypsy-19,3247,X:5242229-5243132,5242229,5242377,5242774,5243132,4F,5107107,D. sech,no,NA,
1.688,37,GENE,2411,GENE,1264,X:5260618-5274973,5260618,5260976,5274614,5274973,4F,5107107,D. sech,no,new,
1.688,2,Gypsy-31,27530,GENE,12846,X:5326398-5326901,5326398,5326756,5326757,5326901,4F,5107107,D. sech,no,NA,
1.688,3,GENE,1,GENE,8622,X:5389943-5390578,5389943,5390121,5390486,5390578,4F,5107107,D. sech,no,NA,
1.688,2,GENE,1435,GENE,553,X:5408673-5409143,5408673,5409014,5409051,5409143,4F,5107107,D. sech,no,NA,
1.688,1,GENE,1,GENE,7228,X:5456229-5456582,5456229,5456582,5456229,5456582,4F,5107107,D. sech,no,NA,
1.688,2,GENE,1,GENE,1106,X:5514228-5514689,5514228,5514582,5514578,5514689,5A,5475817,D. sech,no,NA,
1.688,2,GENE,1426,GENE,406,X:5554924-5555435,5554924,5555276,5555282,5555435,5A,5475817,D. sech,no,NA,
1.688,2,GENE,739,DNAREP1,6973,X:5583708-5584153,5583708,5584066,5584076,5584153,5A,5475817,D. sech,no,NA,
1.688,1,Homo6 776 883,1782,DMRP1 1 69,1319,X:5604272-5604486,5604272,5604486,5604272,5604486,5A,5475817,D. sech,no,NA,
1.688,2,GENE,1,GENE,8343,X:5709472-5709934,5709472,5709661,5709702,5709934,5B,5697153,D. sech,no,NA,
1.688,5,GENE,687,GENE,3518,X:5722831-5724148,5722831,5722959,5724039,5724148,5B,5697153,D. sech,no,old,
1.688,4,Gypsy-10,6082,GENE,11442,X:5753102-5754074,5753102,5753225,5753944,5754074,5B,5697153,D. sech,no,old,
1.688,1,TART,1397,GENE,317,X:5794629-5794687,5794629,5794687,5794629,5794687,5C,5766003,D. sech,no,NA,
1.688,1,DMRT1B 3 5183,17371,Galileo,1564,X:5899272-5899334,5899272,5899334,5899272,5899334,5C,5766003,D. sech,no,NA,
1.688,3,GENE,3832,GENE,9191,X:5932358-5933139,5932358,5932449,5932807,5933139,5C,5766003,D. sech,no,NA,
1.688,1,BEL-16,954,M4DM 1 1435,2676,X:6037847-6038219,6037847,6038219,6037847,6038219,5D,5955321,D. sech,no,NA,
1.688,3,GENE,768,GENE,506,X:6074998-6076046,6074998,6075351,6075746,6076046,5D,5955321,D. sech,no,NA,
1.688,3,HOBO 1 314,4285,1.688,8551,X:6106056-6106727,6106056,6106256,6106617,6106727,5D,5955321,D. sech,no,NA,
1.688,3,1.688,8551,Gypsy-22,11301,X:6115278-6116013,6115278,6115437,6115832,6116013,5D,5955321,D. sech,no,NA,
1.688,1,Homo6 701 807,5442,RSP-LIKE,418,X:6132864-6133130,6132864,6133130,6132864,6133130,5D,5955321,D. sech,no,NA,
1.688,2,HeT-A3,2970,1.688,13048,X:6181879-6182272,6181879,6181972,6181975,6182272,5D,5955321,D. sech,no,NA,
1.688,1,1.688,13048,Gypsy7-I,5858,X:6195320-6195486,6195320,6195486,6195320,6195486,5D,5955321,D. sech,no,NA,
1.688,2,HeT-A3,14830,Gypsy8-I,7150,X:6263877-6264129,6263877,6264047,6264044,6264129,5E,6198962,D. sech,no,NA,
1.688,2,Jockey-3,763,GENE,4630,X:6410574-6411079,6410574,6410746,6410739,6411079,6A,6400666,D. sech,no,NA,
1.688,2,GENE,8204,GENE,231,X:6534414-6534922,6534414,6534556,6534574,6534922,6B,6516901,D. sech,no,NA,
1.688,7,DNAREP1,6909,Jockey-3,2329,X:6581375-6582528,6581375,6581498,6582435,6582528,6B,6516901,D. sech,no,old,
1.688,1,Jockey-3,6513,Gypsy-12,177,X:6591451-6591747,6591451,6591747,6591451,6591747,6C,6585391,D. sech,no,NA,
1.688,3,Transib-7,19,Gypsy-21,45,X:6593556-6593915,6593556,6593611,6593766,6593915,6C,6585391,D. sech,no,NA,
1.688,3,Transib-7,19,Gypsy-21,45,X:6596190-6596546,6596190,6596245,6596398,6596546,6C,6585391,D. sech,no,NA,
1.688,3,Transib-7,48,Gypsy-21,45,X:6598821-6599264,6598821,6598876,6599124,6599264,6C,6585391,D. sech,no,NA,
1.688,3,Gypsy-21,45,Transib-7,19,X:6603812-6604432,6603812,6603962,6604377,6604432,6C,6585391,D. sech,no,NA,
1.688,2,Gypsy-21,45,Transib-7,19,X:6606709-6606971,6606709,6606859,6606916,6606971,6C,6585391,D. sech,no,NA,
1.688,5,Gypsy-21,45,Jockey-6,16352,X:6609248-6610639,6609248,6609398,6610543,6610639,6C,6585391,D. sech,no,new,
1.688,52,Gypsy-21,6976,Polinton-1,9757,X:6640906-6659134,6640906,6641035,6658853,6659134,6C,6585391,D. sech,no,new,
1.688,4,Polinton-1,13047,RSP-LIKE,24,X:6682028-6683046,6682028,6682185,6682907,6683046,6C,6585391,D. sech,no,old,
1.688,5,Gypsy12-LTR,159,GENE,13837,X:6742591-6744580,6742591,6742863,6744288,6744580,6C,6585391,D. sech,no,new,
1.688,2,GENE,164,GENE,7073,X:6759736-6760217,6759736,6760039,6760083,6760217,6C,6585391,D. sech,no,NA,
1.688,2,GENE,1550,TART,3909,X:6791645-6791966,6791645,6791719,6791713,6791966,6D,6779511,D. sech,no,NA,
1.688,4,GENE,6327,Galileo,987,X:6833275-6834328,6833275,6833408,6834147,6834328,6D,6779511,D. sech,no,old,
1.688,2,Gypsy-22,405,Homo6 737 877,8220,X:6852192-6852666,6852192,6852355,6852378,6852666,6D,6779511,D. sech,no,NA,
1.688,3,Homo6 737 877,32875,TART,24783,X:6893864-6894464,6893864,6893983,6894397,6894464,6E,6863446,D. sech,no,NA,
1.688,4,RSP-LIKE,318,1.688,15422,X:6947917-6949029,6947917,6948220,6948962,6949029,6E,6863446,D. sech,no,new,
1.688,2,1.688,15422,GENE,7404,X:6964451-6964991,6964451,6964738,6964739,6964991,6E,6863446,D. sech,no,NA,
1.688,1,GENE,10069,GENE,8527,X:7097079-7097161,7097079,7097161,7097079,7097161,6F,7033899,D. sech,no,NA,
1.688,4,GENE,15616,GENE,10292,X:7145316-7146570,7145316,7145398,7146331,7146570,6F,7033899,D. sech,no,old,
1.688,3,GENE,13092,GENE,11034,X:7454628-7455259,7454628,7454787,7455139,7455259,7B,7286018,D. sech,no,NA,
1.688,1,Helitron-1,4952,G5,17386,X:7489592-7489693,7489592,7489693,7489592,7489693,7B,7286018,D. sech,no,NA,
1.688,138,G5,5754,Copia1-LTR,107,X:7513277-7531604,7513277,7513379,7531492,7531604,7B,7286018,D. sech,no,new,
1.688,1,Gypsy-22,12568,Jockey-3,2159,X:7554521-7554655,7554521,7554655,7554521,7554655,7B,7286018,D. sech,no,NA,
1.688,1,GENE,1,DNAREP1,1680,X:7594235-7594356,7594235,7594356,7594235,7594356,7B,7286018,D. sech,no,NA,
